time,etkf_rmse,enkfn_rmse,enkfn_l1
16.1500,0.322206,0.305882,1.050129
16.2000,0.318507,0.308166,1.050314
16.2500,0.318179,0.313224,1.029992
16.3000,0.235132,0.246343,1.122287
16.3500,0.232713,0.285655,1.077330
16.4000,0.264377,0.331097,1.096654
16.4500,0.260273,0.287337,1.054773
16.5000,0.190986,0.209508,1.090340
16.5500,0.231773,0.257818,1.078484
16.6000,0.238569,0.250432,1.057188
16.6500,0.308098,0.306081,1.075375
16.7000,0.244147,0.276741,1.070795
16.7500,0.292700,0.309153,1.082296
16.8000,0.236289,0.303560,1.270800
16.8500,0.287902,0.314098,1.046248
16.9000,0.281961,0.296331,1.069103
16.9500,0.286244,0.290151,1.099352
17.0000,0.369986,0.378068,1.106661
17.0500,0.433024,0.456557,1.224305
17.1000,0.318717,0.373987,1.158423
17.1500,0.317211,0.362544,1.085707
17.2000,0.279884,0.340428,1.127941
17.2500,0.316059,0.338437,1.070430
17.3000,0.279454,0.320788,1.136777
17.3500,0.302967,0.334485,1.078961
17.4000,0.310732,0.373927,1.069832
17.4500,0.329026,0.362407,1.041425
17.5000,0.322921,0.317182,1.103353
17.5500,0.385415,0.368033,1.076417
17.6000,0.351852,0.343449,1.100118
17.6500,0.361469,0.366380,1.083164
17.7000,0.290746,0.320141,1.056607
17.7500,0.301393,0.326146,1.066924
17.8000,0.363250,0.337553,1.062210
17.8500,0.320410,0.276903,1.061205
17.9000,0.287152,0.235047,1.098935
17.9500,0.248039,0.240406,1.049743
18.0000,0.318119,0.303540,1.210415
18.0500,0.270195,0.247916,1.115776
18.1000,0.288187,0.285278,1.111511
18.1500,0.315190,0.282060,1.123980
18.2000,0.324948,0.300708,1.136113
18.2500,0.273835,0.250578,1.078378
18.3000,0.343860,0.302642,1.076188
18.3500,0.305999,0.257300,1.042474
18.4000,0.271739,0.259175,1.097412
18.4500,0.293953,0.292776,1.107756
18.5000,0.259794,0.269875,1.129736
18.5500,0.283003,0.302164,1.126984
18.6000,0.356108,0.372129,1.070568
18.6500,0.318989,0.405538,1.135807
18.7000,0.283410,0.387308,1.061289
18.7500,0.254575,0.360709,1.072693
18.8000,0.370904,0.447488,1.187505
18.8500,0.359007,0.397951,1.036091
18.9000,0.283354,0.319908,1.142473
18.9500,0.265566,0.283001,1.085429
19.0000,0.252720,0.305231,1.170864
19.0500,0.242116,0.292482,1.102973
19.1000,0.292359,0.327973,1.093330
